タイムスタンプ,ID(イニシャル＋誕生月、例→HarutoWakayama→HW04),年齢,性別,条件,質問項目 [Q1. このデバイスでの入力操作は身体的に快適だった。],質問項目 [Q2. キーを押したときの感触（フィードバック）は心地よかった。],質問項目 [Q3. 長時間使用してもストレスを感じないと思った。],質問項目 [Q4. 入力したい文字や単語を正確に入力できた。],質問項目 [Q5. タイプミスをした際、修正は簡単だった。],質問項目 [Q6. 自分の思った通りの速度で入力することができた。],質問項目 [Q7. デバイスを把持（または装着）した時の感覚は自然だった。],質問項目 [Q8. デバイスの重さは気にならなかった。],質問項目 [Q9. 従来のVRコントローラと比較して、この入力方法は優れていると思う。],質問項目 [Q10. 今後VRを使用する際、この入力方法を使いたいと思う。],質問項目 [Q11. 総合的に見て、この入力デバイスに満足している。],その他コメント・感想(あれば)
2026/01/22 17:33:43,MK08,25,male,キーボード,ややそう思う,ややそう思う,あまりそう思わない,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,あまりそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,
2026/01/22 19:34:47,MT10,23,male,提案デバイス,ややそう思う,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,
2026/01/22 19:58:57,MT10,23,male,コントローラー,あまりそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,あまりそう思わない,まったくそう思わない,まったくそう思わない,あまりそう思わない,
2026/01/22 20:10:31,MT10,23,male,キーボード,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,どちらとも言えない,どちらとも言えない,とてもそう思う,
2026/01/23 17:56:38,KM02,23,male,キーボード,とてもそう思う,とてもそう思う,どちらとも言えない,とてもそう思う,まったくそう思わない,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,触覚フィードバックが心地よい
2026/01/23 18:27:21,KM02,23,male,提案デバイス,ややそう思う,とてもそう思う,ややそう思う,あまりそう思わない,まったくそう思わない,あまりそう思わない,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,ややそう思う,想像以上に直感的に入力できた．練習するとより直感的に使用できる可能性を感じた．
2026/01/23 18:51:44,KM02,23,male,コントローラー,あまりそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,とてもそう思う,まったくそう思わない,とてもそう思う,とてもそう思う,どちらとも言えない,まったくそう思わない,あまりそう思わない,初めて使ったため操作に慣れるのに苦労した．
2026/01/23 23:02:48,YM11,24,male,コントローラー,どちらとも言えない,あまりそう思わない,あまりそう思わない,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,ややそう思う,どちらとも言えない,あまりそう思わない,どちらとも言えない,
2026/01/23 23:19:49,YM11,24,male,キーボード,あまりそう思わない,あまりそう思わない,どちらとも言えない,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,
2026/01/24 0:07:54,YM11,24,male,提案デバイス,どちらとも言えない,どちらとも言えない,あまりそう思わない,あまりそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,
2026/01/27 15:30:38,CS10,24,female,コントローラー,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,まったくそう思わない,どちらとも言えない,あまりそう思わない,あまりそう思わない,
2026/01/27 15:43:47,CS10,24,female,キーボード,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,どちらとも言えない,とてもそう思う,
2026/01/27 16:12:42,CS10,24,female,提案デバイス,とてもそう思う,ややそう思う,ややそう思う,まったくそう思わない,どちらとも言えない,まったくそう思わない,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,ややそう思う,
